# VIPERS Database
# File    : VIPERS_W4_SPECTRO_PDR1.txt.gz
# Date    : 2013-10-15 10:46
# Table   : W4_SPECTRO_PDR1
# Columns : 14
# Rows    : 30698
# SQL     : SELECT W4_SPECTRO_PDR1.id_IAU, W4_SPECTRO_PDR1.num, W4_SPEC
#           TRO_PDR1.alpha, W4_SPECTRO_PDR1.delta, W4_SPECTRO_PDR1.selm
#           ag, W4_SPECTRO_PDR1.errselmag, W4_SPECTRO_PDR1.pointing, W4
#           _SPECTRO_PDR1.quadrant, W4_SPECTRO_PDR1.zflg, W4_SPECTRO_PD
#           R1.zspec, W4_SPECTRO_PDR1.epoch, W4_SPECTRO_PDR1.photoMask,
#            W4_SPECTRO_PDR1.tsr, W4_SPECTRO_PDR1.ssr FROM W4_SPECTRO_P
#           DR1
# id_IAU	num	alpha	delta	selmag	errselmag	pointing	quadrant	zflg	zspec	epoch	photoMask	tsr	ssr
# CHAR	VARCHAR	DOUBLE	DOUBLE	FLOAT	FLOAT	VARCHAR	INT	FLOAT	FLOAT	INT	CHAR	FLOAT	FLOAT
# 		deg	deg	mag	mag								
VIPERS 403052524	403052524	332.089478	1.067874	21.8794	0.0315	W4P008	2	  1.2	0.9110	1	1	0.4508	-1.000
VIPERS 403061695	403061695	332.089771	1.106680	21.4822	0.0131	W4P008	2	  3.5	0.7878	1	1	0.4519	0.903
VIPERS 403056071	403056071	332.093310	1.083581	17.9612	0.0012	W4P008	2	  3.4	0.0000	1	1	-1.0000	-1.000
VIPERS 403065198	403065198	332.092455	1.122674	22.2881	0.0619	W4P008	2	  3.5	0.6099	1	1	0.4463	0.718
VIPERS 403064724	403064724	332.094669	1.120720	22.1207	0.0318	W4P008	2	  2.5	0.6100	1	1	0.4524	0.718
VIPERS 403050205	403050205	332.095856	1.052761	22.3238	0.0906	W4P008	2	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 403063386	403063386	332.096556	1.114669	20.8524	0.0107	W4P008	2	  4.5	0.7365	1	1	0.4479	0.939
VIPERS 403054759	403054759	332.098554	1.074591	22.4249	0.0416	W4P008	2	  3.5	0.6690	1	1	0.4463	0.756
VIPERS 403066788	403066788	332.097974	1.129917	20.6874	0.0111	W4P008	2	  2.2	0.8311	1	1	0.4582	0.905
VIPERS 403051489	403051489	332.100090	1.058907	22.2740	0.0586	W4P008	2	  9.2	1.0252	1	1	0.4463	0.619
VIPERS 403057755	403057755	332.102118	1.089060	21.8412	0.0298	W4P008	2	  3.5	0.6691	1	1	0.4508	0.856
VIPERS 403067713	403067713	332.103304	1.133851	22.4574	0.0547	W4P008	2	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 403048126	403048126	332.105322	1.043972	20.8500	0.0240	W4P008	2	  0.0	9.9999	1	1	0.4479	-1.000
VIPERS 403057702	403057702	332.104799	1.088815	22.0867	0.0390	W4P008	2	  1.5	0.7820	1	1	0.4524	-1.000
VIPERS 403066569	403066569	332.104839	1.128698	20.5207	0.0109	W4P008	2	  2.5	0.5947	1	1	0.4582	0.949
VIPERS 403050834	403050834	332.108761	1.055997	21.2651	0.0156	W4P008	2	  2.5	0.7792	1	1	0.4519	0.903
VIPERS 403059821	403059821	332.108712	1.098543	22.0003	0.0321	W4P008	2	  2.2	0.8664	1	1	0.4524	0.750
VIPERS 403072239	403072239	332.107059	1.154111	19.1960	0.0021	W4P008	2	 20.0	9.9999	1	1	-1.0000	-1.000
VIPERS 403072197	403072197	332.107756	1.153720	21.5860	0.0169	W4P008	2	  2.5	0.5831	1	1	0.4525	0.844
VIPERS 403050458	403050458	332.109877	1.053106	23.6398	0.1185	W4P008	2	 20.0	9.9999	1	1	-99.0000	-99.000
VIPERS 403050075	403050075	332.111090	1.053209	21.6288	0.0243	W4P008	2	  9.2	0.2224	1	1	0.4525	0.564
VIPERS 403073576	403073576	332.110759	1.159789	21.1201	0.0107	W4P008	2	  4.2	0.3230	1	1	0.4410	0.956
VIPERS 403047051	403047051	332.112643	1.036922	22.2728	0.0269	W4P008	2	  3.5	0.4129	1	1	0.4463	0.802
VIPERS 403057777	403057777	332.112399	1.089069	22.1217	0.0331	W4P008	2	  2.2	0.8730	1	1	0.4524	0.750
VIPERS 403072584	403072584	332.112939	1.155599	21.7644	0.0185	W4P008	2	  2.5	0.7208	1	1	0.4508	0.838
VIPERS 403053848	403053848	332.114117	1.070660	21.5924	0.0183	W4P008	2	  1.2	0.3368	1	1	0.4525	-1.000
VIPERS 403073635	403073635	332.114737	1.160222	22.4076	0.0463	W4P008	2	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 403058374	403058374	332.116616	1.091798	22.3741	0.0572	W4P008	2	  1.2	0.8649	1	1	0.4463	-1.000
VIPERS 403052050	403052050	332.119807	1.062086	21.6757	0.0255	W4P008	2	  1.2	0.8978	1	1	0.4525	-1.000
VIPERS 403064206	403064206	332.119501	1.118498	22.2221	0.0259	W4P008	2	  2.2	0.8750	1	1	0.4524	0.750
VIPERS 403054097	403054097	332.121047	1.072708	21.8815	0.0386	W4P008	2	  0.0	9.9999	1	1	0.4508	-1.000
VIPERS 403060851	403060851	332.123153	1.103246	21.9288	0.0246	W4P008	2	  2.5	0.7786	1	1	0.4508	0.838
VIPERS 403072900	403072900	332.123781	1.156478	20.6377	0.0075	W4P008	2	  3.4	0.7459	1	1	0.4582	0.939
VIPERS 403047493	403047493	332.126526	1.039969	20.6247	0.0087	W4P008	2	  4.2	0.5861	1	1	0.4582	0.949
VIPERS 403063756	403063756	332.124838	1.116554	21.9575	0.0342	W4P008	2	  0.0	9.9999	1	1	0.4508	-1.000
VIPERS 403063657	403063657	332.126067	1.116367	23.3269	0.0890	W4P008	2	 29.1	0.7876	1	1	-99.0000	-99.000
VIPERS 403072172	403072172	332.126104	1.153700	21.7980	0.0236	W4P008	2	  2.2	0.7192	1	1	0.4508	0.838
VIPERS 403053991	403053991	332.128510	1.071428	22.3095	0.0339	W4P008	2	  2.2	0.8657	1	1	0.4463	0.750
VIPERS 403072298	403072298	332.128903	1.154263	21.0207	0.0111	W4P008	2	  3.5	0.8297	1	1	0.4410	0.864
VIPERS 403061746	403061746	332.131329	1.107190	22.3422	0.0318	W4P008	2	  4.5	0.6273	1	1	0.4463	0.756
VIPERS 403061586	403061586	332.130758	1.107213	23.0752	0.0508	W4P008	2	 20.0	9.9999	1	1	-99.0000	-99.000
VIPERS 403051853	403051853	332.133159	1.061626	21.1100	0.0147	W4P008	2	  4.5	0.5540	1	1	0.4410	0.914
VIPERS 403062694	403062694	332.132878	1.111567	22.0390	0.0362	W4P008	2	  0.0	9.9999	1	1	0.4524	-1.000
VIPERS 403073055	403073055	332.134494	1.157178	21.7930	0.0234	W4P008	2	  2.4	0.5620	1	1	0.4508	0.844
VIPERS 403063886	403063886	332.138300	1.117182	21.5752	0.0128	W4P008	2	  3.5	0.7806	1	1	0.4525	0.838
VIPERS 403067238	403067238	332.139506	1.131868	21.4211	0.0214	W4P008	2	  2.5	0.7174	1	1	0.4519	0.903
VIPERS 403050907	403050907	332.140965	1.056864	21.1544	0.0196	W4P008	2	  0.0	9.9999	1	1	0.4410	-1.000
VIPERS 403066279	403066279	332.140811	1.127743	21.8013	0.0194	W4P008	2	  2.2	0.0000	1	1	0.4508	-1.000
VIPERS 403049783	403049783	332.143710	1.054084	21.1383	0.0130	W4P008	2	  3.2	0.0000	1	1	0.4410	-1.000
VIPERS 403060706	403060706	332.144319	1.102205	21.8278	0.0200	W4P008	2	  2.5	0.7807	1	1	0.4508	0.838
VIPERS 403069174	403069174	332.143535	1.140196	22.2298	0.0326	W4P008	2	  1.5	0.7443	1	1	0.4524	-1.000
VIPERS 403051140	403051140	332.145404	1.057517	21.1634	0.0129	W4P008	2	  2.5	0.4795	1	1	0.4410	0.776
VIPERS 403060475	403060475	332.147305	1.101919	19.7960	0.0035	W4P008	2	  4.2	0.0000	1	1	0.4628	-1.000
VIPERS 403071243	403071243	332.147147	1.149383	21.9556	0.0197	W4P008	2	  4.5	0.2389	1	1	0.4508	0.564
VIPERS 403059914	403059914	332.148956	1.099324	22.4395	0.0546	W4P008	2	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 403072769	403072769	332.149322	1.156112	21.5307	0.0147	W4P008	2	  2.5	0.8191	1	1	0.4525	0.821
VIPERS 403060390	403060390	332.150553	1.100981	21.5126	0.0171	W4P008	2	  4.2	0.4410	1	1	0.4525	0.799
VIPERS 403060639	403060639	332.152763	1.102458	21.6214	0.0136	W4P008	2	  0.0	9.9999	1	1	0.4525	-1.000
VIPERS 403072599	403072599	332.152133	1.155554	20.8456	0.0119	W4P008	2	  3.5	0.7183	1	1	0.4479	0.939
VIPERS 403064297	403064297	332.154410	1.119987	20.6308	0.0108	W4P008	2	  1.5	0.4610	1	1	0.4582	-1.000
VIPERS 403048756	403048756	332.155326	1.048230	20.2543	0.0102	W4P008	2	 24.5	0.2045	1	1	-1.0000	-1.000
VIPERS 403049389	403049389	332.157473	1.048547	22.3870	0.0316	W4P008	2	  2.5	0.8750	1	1	0.4463	0.750
VIPERS 403066031	403066031	332.156187	1.126970	22.1363	0.0222	W4P008	2	  2.5	0.8940	1	1	0.4524	0.750
VIPERS 403046743	403046743	332.159069	1.037874	21.0416	0.0175	W4P008	2	  2.2	0.7657	1	1	0.4410	0.903
VIPERS 403058075	403058075	332.160056	1.091059	20.8119	0.0130	W4P008	2	  2.5	0.7490	1	1	0.4479	0.939
VIPERS 403069547	403069547	332.160259	1.142498	22.1418	0.0314	W4P008	2	  3.5	0.5579	1	1	0.4524	0.718
VIPERS 402065527	402065527	331.794947	1.090799	20.6506	0.0110	W4P007	2	  4.4	0.5143	1	1	0.4582	0.935
VIPERS 402076956	402076956	331.796260	1.137664	22.2928	0.0204	W4P007	2	  3.5	0.5180	1	1	0.4463	0.646
VIPERS 402059187	402059187	331.797970	1.061341	20.8640	0.0109	W4P007	2	  0.0	9.9999	1	1	0.4479	-1.000
VIPERS 402068475	402068475	331.798126	1.103020	22.3881	0.0271	W4P007	2	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 402059827	402059827	331.799213	1.063930	22.3397	0.0399	W4P007	2	  2.2	0.7734	1	1	0.4463	0.771
VIPERS 402056233	402056233	331.800957	1.046962	22.2428	0.0286	W4P007	2	  3.5	0.6099	1	1	0.4524	0.718
VIPERS 402066002	402066002	331.800910	1.091819	21.7472	0.0153	W4P007	2	  3.5	0.9097	1	1	0.4525	0.781
