# VIPERS Database
# File    : VIPERS_W4_SPECTRO_PDR1.txt.gz
# Date    : 2013-10-15 10:46
# Table   : W4_SPECTRO_PDR1
# Columns : 14
# Rows    : 30698
# SQL     : SELECT W4_SPECTRO_PDR1.id_IAU, W4_SPECTRO_PDR1.num, W4_SPEC
#           TRO_PDR1.alpha, W4_SPECTRO_PDR1.delta, W4_SPECTRO_PDR1.selm
#           ag, W4_SPECTRO_PDR1.errselmag, W4_SPECTRO_PDR1.pointing, W4
#           _SPECTRO_PDR1.quadrant, W4_SPECTRO_PDR1.zflg, W4_SPECTRO_PD
#           R1.zspec, W4_SPECTRO_PDR1.epoch, W4_SPECTRO_PDR1.photoMask,
#            W4_SPECTRO_PDR1.tsr, W4_SPECTRO_PDR1.ssr FROM W4_SPECTRO_P
#           DR1
# id_IAU	num	alpha	delta	selmag	errselmag	pointing	quadrant	zflg	zspec	epoch	photoMask	tsr	ssr
# CHAR	VARCHAR	DOUBLE	DOUBLE	FLOAT	FLOAT	VARCHAR	INT	FLOAT	FLOAT	INT	CHAR	FLOAT	FLOAT
# 		deg	deg	mag	mag								
VIPERS 401019899	401019899	330.245690	0.905172	22.1854	0.0391	W4P001	3	  2.5	0.8190	1	1	0.4524	0.750
VIPERS 401031253	401031253	330.245453	0.952352	20.8282	0.0149	W4P001	3	  3.5	0.8190	1	1	0.4479	0.905
VIPERS 401013207	401013207	330.248984	0.876374	21.5626	0.0219	W4P001	3	  0.0	9.9999	1	1	0.4525	-1.000
VIPERS 401026127	401026127	330.250015	0.930643	21.4129	0.0281	W4P001	3	  2.5	0.7242	1	1	0.4519	0.903
VIPERS 401027480	401027480	330.251181	0.936432	21.4740	0.0424	W4P001	3	  0.0	9.9999	1	1	0.4519	-1.000
VIPERS 401011775	401011775	330.253442	0.869656	21.1013	0.0275	W4P001	3	  1.5	0.4874	1	1	0.4410	-1.000
VIPERS 401023109	401023109	330.253663	0.918041	21.2677	0.0263	W4P001	3	  2.5	0.8143	1	1	0.4519	0.864
VIPERS 401024147	401024147	330.254848	0.923197	22.0899	0.0342	W4P001	3	  1.5	0.6980	1	1	0.4524	-1.000
VIPERS 401039752	401039752	330.254862	0.989101	21.9904	0.0392	W4P001	3	  3.5	0.7429	1	1	0.4508	0.838
VIPERS 401021131	401021131	330.256511	0.909794	21.9006	0.0369	W4P001	3	  2.5	0.8508	1	1	0.4508	0.821
VIPERS 401012865	401012865	330.258932	0.875388	21.4963	0.0192	W4P001	3	  0.0	9.9999	1	1	0.4519	-1.000
VIPERS 401023837	401023837	330.258429	0.921771	21.9096	0.0324	W4P001	3	  2.5	0.8155	1	1	0.4508	0.821
VIPERS 401014087	401014087	330.260866	0.880203	20.6475	0.0129	W4P001	3	  3.4	0.4771	1	1	0.4582	0.884
VIPERS 401023063	401023063	330.260453	0.918290	22.1963	0.0483	W4P001	3	  3.2	0.7144	1	1	0.4524	0.771
VIPERS 401014052	401014052	330.262831	0.880763	22.4678	0.0539	W4P001	3	  2.5	0.7171	1	1	0.4463	0.771
VIPERS 401036859	401036859	330.262538	0.977001	22.4602	0.0896	W4P001	3	  2.5	0.7500	1	1	0.4463	0.771
VIPERS 401033403	401033403	330.263817	0.961996	22.4178	0.0709	W4P001	3	  2.2	0.7057	1	1	0.4463	0.771
VIPERS 401020683	401020683	330.265316	0.908200	22.0464	0.0371	W4P001	3	  0.0	9.9999	1	1	0.4524	-1.000
VIPERS 401018005	401018005	330.266736	0.896752	21.4697	0.0278	W4P001	3	  2.5	0.5657	1	1	0.4519	0.914
VIPERS 401026514	401026514	330.268486	0.931863	20.9146	0.0165	W4P001	3	  2.2	0.7900	1	1	0.4479	0.939
VIPERS 401035239	401035239	330.267964	0.970113	21.3113	0.0162	W4P001	3	  4.5	0.6453	1	1	0.4519	0.920
VIPERS 401018878	401018878	330.270918	0.900878	22.2601	0.0384	W4P001	3	  1.5	0.4953	1	1	0.4463	-1.000
VIPERS 401028810	401028810	330.269652	0.943567	22.1113	0.0348	W4P001	3	  2.2	0.0000	1	1	-1.0000	-1.000
VIPERS 401039801	401039801	330.270427	0.988070	21.3918	0.0275	W4P001	3	  2.2	0.8650	1	1	0.4519	0.864
VIPERS 401016974	401016974	330.272578	0.892168	20.6817	0.0110	W4P001	3	  4.5	0.5659	1	1	0.4582	0.949
VIPERS 401038137	401038137	330.272146	0.981985	21.4641	0.0218	W4P001	3	  2.5	0.7290	1	1	0.4519	0.903
VIPERS 401018693	401018693	330.274267	0.899567	22.2926	0.0568	W4P001	3	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 401012051	401012051	330.276936	0.871350	21.3772	0.0220	W4P001	3	  2.4	0.8169	1	1	0.4519	0.864
VIPERS 401033647	401033647	330.276533	0.963216	21.9721	0.0347	W4P001	3	  3.5	0.6689	1	1	0.4508	0.856
VIPERS 401014730	401014730	330.278395	0.882233	20.2275	0.0087	W4P001	3	  4.5	0.4752	1	1	0.4392	0.950
VIPERS 401035528	401035528	330.278078	0.970778	21.4916	0.0351	W4P001	3	  1.5	0.6990	1	1	0.4519	-1.000
VIPERS 401029075	401029075	330.279610	0.943492	21.5788	0.0250	W4P001	3	  4.4	0.5661	1	1	0.4525	0.844
VIPERS 401031198	401031198	330.282104	0.952027	20.9036	0.0155	W4P001	3	  2.5	0.4456	1	1	0.4479	0.851
VIPERS 401014252	401014252	330.287067	0.880384	22.3381	0.0635	W4P001	3	  3.5	0.5638	1	1	0.4463	0.718
VIPERS 401036122	401036122	330.286505	0.977709	20.2327	0.0138	W4P001	3	  0.0	9.9999	1	1	0.4392	-1.000
VIPERS 401014551	401014551	330.288993	0.881514	21.4406	0.0298	W4P001	3	  0.0	9.9999	1	1	0.4519	-1.000
VIPERS 401037568	401037568	330.288132	0.979931	20.7965	0.0647	W4P001	3	  0.0	9.9999	1	1	0.4479	-1.000
VIPERS 401012707	401012707	330.290898	0.874405	21.6449	0.0233	W4P001	3	  3.5	0.5593	1	1	0.4525	0.844
VIPERS 401026086	401026086	330.290180	0.930416	21.6945	0.0529	W4P001	3	  3.5	0.5146	1	1	0.4525	0.782
VIPERS 401035219	401035219	330.290742	0.970078	22.0341	0.0312	W4P001	3	  3.4	0.6410	1	1	0.4524	0.756
VIPERS 401010629	401010629	330.292663	0.865021	22.2742	0.0523	W4P001	3	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 401020812	401020812	330.292169	0.909190	22.3065	0.0399	W4P001	3	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 401031441	401031441	330.292110	0.954170	22.0876	0.0371	W4P001	3	  1.5	0.7299	1	1	0.4524	-1.000
VIPERS 401016677	401016677	330.293682	0.890158	22.0804	0.0531	W4P001	3	  2.5	0.7650	1	1	0.4524	0.771
VIPERS 401012321	401012321	330.295411	0.873027	21.6896	0.0251	W4P001	3	  0.0	9.9999	1	1	0.4525	-1.000
VIPERS 401021150	401021150	330.295766	0.910244	22.2195	0.0727	W4P001	3	  0.0	9.9999	1	1	0.4524	-1.000
VIPERS 401029917	401029917	330.294738	0.948038	22.4701	0.0465	W4P001	3	  2.5	0.6620	1	1	0.4463	0.756
VIPERS 401015632	401015632	330.298460	0.886433	21.9434	0.0456	W4P001	3	  0.0	9.9999	1	1	0.4508	-1.000
VIPERS 401027202	401027202	330.298201	0.935598	20.9546	0.0146	W4P001	3	  3.5	0.4449	1	1	0.4479	0.851
VIPERS 401019996	401019996	330.299790	0.905425	22.0703	0.0478	W4P001	3	  3.2	0.9957	1	1	0.4524	0.745
VIPERS 401038904	401038904	330.300018	0.985695	22.4738	0.0486	W4P001	3	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 401016711	401016711	330.301888	0.891293	22.4087	0.0891	W4P001	3	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 401025331	401025331	330.302229	0.928444	22.3174	0.0387	W4P001	3	  3.2	0.0634	1	1	0.4463	0.568
VIPERS 401039180	401039180	330.302487	0.986090	22.2006	0.0478	W4P001	3	  3.5	0.7069	1	1	0.4524	0.771
VIPERS 401024917	401024917	330.303746	0.925856	22.1384	0.0518	W4P001	3	  1.5	0.8344	1	1	0.4524	-1.000
VIPERS 401032487	401032487	330.305702	0.957015	21.0686	0.0229	W4P001	3	  3.5	0.5629	1	1	0.4410	0.914
VIPERS 401024891	401024891	330.307772	0.926715	22.3711	0.0498	W4P001	3	  1.2	0.6600	1	1	0.4463	-1.000
VIPERS 401038164	401038164	330.307378	0.982751	22.3178	0.0485	W4P001	3	  2.2	0.0000	1	1	-1.0000	-1.000
VIPERS 401026120	401026120	330.309377	0.931820	22.4102	0.0475	W4P001	3	  2.5	0.4413	1	1	0.4463	0.802
VIPERS 401033099	401033099	330.310740	0.960858	22.1583	0.0522	W4P001	3	  2.5	0.7511	1	1	0.4524	0.771
VIPERS 401011039	401011039	330.312634	0.867347	21.4572	0.0235	W4P001	3	  2.2	0.0000	1	1	-1.0000	-1.000
VIPERS 401034375	401034375	330.311986	0.966153	22.3040	0.0708	W4P001	3	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 401012189	401012189	330.314957	0.872471	22.4834	0.0698	W4P001	3	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 401018831	401018831	330.316012	0.900150	21.8132	0.0281	W4P001	3	  3.5	0.5634	1	1	0.4508	0.844
VIPERS 401016659	401016659	330.317395	0.891698	22.2425	0.0383	W4P001	3	  2.5	0.8665	1	1	0.4524	0.750
VIPERS 401029631	401029631	330.317775	0.946807	22.1629	0.0439	W4P001	3	 11.2	1.6450	1	1	0.4524	-1.000
VIPERS 401022859	401022859	330.321501	0.917267	22.1530	0.0416	W4P001	3	  9.5	0.7570	1	1	0.4524	0.771
VIPERS 401034926	401034926	330.321698	0.969064	19.7954	0.0088	W4P001	3	  4.4	0.5649	1	1	0.4628	0.952
VIPERS 401016666	401016666	330.324347	0.891581	22.1906	0.0412	W4P001	3	  3.5	0.7291	1	1	0.4524	0.771
VIPERS 401032244	401032244	330.324508	0.956594	20.9762	0.0147	W4P001	3	  3.5	0.5134	1	1	0.4479	0.935
VIPERS 401018781	401018781	330.327522	0.900274	22.1168	0.0419	W4P001	3	  1.2	1.0910	1	1	0.4524	-1.000
VIPERS 401028500	401028500	330.328134	0.941594	21.9015	0.0352	W4P001	3	  0.0	9.9999	1	1	0.4508	-1.000
VIPERS 401038662	401038662	330.327220	0.983899	22.0921	0.0529	W4P001	3	  2.2	0.0000	1	1	0.4524	-1.000
VIPERS 401038663	401038663	330.328373	0.983952	17.8603	0.0011	W4P001	3	 24.2	0.0000	1	1	-1.0000	-1.000
VIPERS 401029196	401029196	330.331730	0.944458	22.4789	0.0752	W4P001	3	  3.5	0.5580	1	1	0.4463	0.718
VIPERS 401013132	401013132	330.333764	0.876158	22.3079	0.0462	W4P001	3	  3.5	0.4461	1	1	0.4463	0.802
VIPERS 401039980	401039980	330.333066	0.989256	21.9665	0.0459	W4P001	3	  1.5	0.7188	1	1	0.4508	-1.000
VIPERS 401019695	401019695	330.336084	0.903846	22.2669	0.0573	W4P001	3	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 401013485	401013485	330.338479	0.876923	21.5622	0.0471	W4P001	3	  0.0	9.9999	1	1	0.4525	-1.000
VIPERS 401025110	401025110	330.339778	0.927312	22.3502	0.0425	W4P001	3	  3.5	0.8654	1	1	0.4463	0.750
VIPERS 401038198	401038198	330.338348	0.982688	21.4359	0.0299	W4P001	3	  1.5	0.7064	1	1	0.4519	-1.000
VIPERS 401018399	401018399	330.341528	0.898330	22.3631	0.0832	W4P001	3	  9.2	1.0298	1	1	0.4463	0.619
VIPERS 401039482	401039482	330.341008	0.986866	20.9308	0.0158	W4P001	3	  2.5	0.4784	1	1	0.4479	0.884
VIPERS 401023521	401023521	330.343595	0.920384	21.6864	0.0233	W4P001	3	  4.5	0.7170	1	1	0.4525	0.838
VIPERS 401033831	401033831	330.343516	0.963406	22.1111	0.0620	W4P001	3	  0.0	9.9999	1	1	0.4524	-1.000
VIPERS 401020025	401020025	330.345066	0.905225	22.3848	0.0778	W4P001	3	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 401037921	401037921	330.345118	0.980944	21.0317	0.0132	W4P001	3	 11.2	1.0440	1	1	0.4410	-1.000
VIPERS 401037120	401037120	330.346588	0.977048	19.4853	0.0068	W4P001	3	  4.2	0.0000	1	0	-99.0000	-99.000
VIPERS 401032143	401032143	330.350394	0.956549	22.2889	0.1106	W4P001	3	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 401015098	401015098	330.353832	0.885103	21.9099	0.0282	W4P001	3	  3.5	0.7617	1	1	0.4508	0.838
VIPERS 401020908	401020908	330.356341	0.908543	21.3518	0.0306	W4P001	3	  1.2	0.7606	1	1	0.4519	-1.000
VIPERS 401034944	401034944	330.357295	0.968279	21.9127	0.0427	W4P001	3	  0.0	9.9999	1	1	0.4508	-1.000
VIPERS 401012302	401012302	330.359500	0.872961	22.0567	0.0351	W4P001	3	  3.5	0.7617	1	1	0.4524	0.771
VIPERS 401023113	401023113	330.359583	0.919097	22.1925	0.0361	W4P001	3	  2.5	0.7615	1	1	0.4524	0.771
VIPERS 403054704	403054704	332.050225	1.075599	20.8405	0.0202	W4P008	2	  2.5	0.7320	1	1	0.4479	0.939
VIPERS 403054551	403054551	332.052655	1.074688	21.1602	0.0138	W4P008	2	  3.5	0.7187	1	1	0.4410	0.903
VIPERS 403064373	403064373	332.052940	1.119644	20.4805	0.0068	W4P008	2	  4.4	0.5786	1	1	0.4472	0.967
VIPERS 403049270	403049270	332.054725	1.048361	21.4422	0.0185	W4P008	2	  2.5	0.8978	1	1	0.4519	0.864
VIPERS 403057084	403057084	332.054635	1.085965	22.4715	0.0388	W4P008	2	  1.2	0.0000	1	1	0.4463	-1.000
VIPERS 403070552	403070552	332.055168	1.146852	22.4692	0.0319	W4P008	2	  2.2	0.9851	1	1	0.4463	0.745
VIPERS 403049023	403049023	332.056767	1.049629	19.8192	0.0061	W4P008	2	  3.5	0.5083	1	1	0.4628	0.983
VIPERS 403072921	403072921	332.057774	1.157307	22.4758	0.0437	W4P008	2	  9.5	0.9757	1	1	0.4463	0.745
VIPERS 403053931	403053931	332.059007	1.071296	21.3023	0.0187	W4P008	2	  2.5	0.5107	1	1	0.4519	0.858
VIPERS 403053546	403053546	332.062642	1.069119	22.0796	0.0253	W4P008	2	  2.5	0.9129	1	1	0.4524	0.745
VIPERS 403072284	403072284	332.063644	1.154430	22.4070	0.0535	W4P008	2	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 403058161	403058161	332.064697	1.090759	22.4380	0.0655	W4P008	2	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 403069852	403069852	332.065857	1.143848	22.2126	0.0257	W4P008	2	  2.2	0.9290	1	1	0.4524	0.745
VIPERS 403047257	403047257	332.066602	1.038555	19.8061	0.0035	W4P008	2	  4.2	0.0000	1	1	0.4628	-1.000
VIPERS 403056518	403056518	332.067989	1.082894	20.7874	0.0131	W4P008	2	  2.5	0.4534	1	1	0.4479	0.884
VIPERS 403049698	403049698	332.069647	1.050996	21.3169	0.0176	W4P008	2	  1.2	0.5070	1	1	0.4519	-1.000
VIPERS 403062727	403062727	332.069857	1.112256	22.4121	0.0303	W4P008	2	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 403052974	403052974	332.070976	1.068703	20.6519	0.0177	W4P008	2	  1.2	0.0000	1	1	0.4582	-1.000
VIPERS 403056026	403056026	332.074945	1.080915	22.3701	0.0328	W4P008	2	  4.5	0.4403	1	1	0.4463	0.802
VIPERS 403051274	403051274	332.076882	1.058129	21.8401	0.0474	W4P008	2	  0.0	9.9999	1	1	0.4508	-1.000
VIPERS 403064731	403064731	332.076467	1.120902	21.9255	0.0288	W4P008	2	  2.5	0.8729	1	1	0.4508	0.821
VIPERS 403052584	403052584	332.080584	1.064856	22.1919	0.0448	W4P008	2	  0.0	9.9999	1	1	0.4524	-1.000
VIPERS 403061072	403061072	332.080036	1.104456	21.9756	0.0189	W4P008	2	  3.2	0.8743	1	1	0.4508	0.821
VIPERS 403053468	403053468	332.082081	1.069263	21.9570	0.0352	W4P008	2	  2.5	1.0357	1	1	0.4508	0.638
VIPERS 403071250	403071250	332.082136	1.149362	21.4337	0.0206	W4P008	2	  1.5	0.7459	1	1	0.4519	-1.000
VIPERS 403054054	403054054	332.083195	1.071501	22.4873	0.0437	W4P008	2	  2.5	0.8710	1	1	0.4463	0.750
VIPERS 403066049	403066049	332.083760	1.126637	20.9829	0.0108	W4P008	2	  4.5	0.5482	1	1	0.4479	0.935
VIPERS 403051723	403051723	332.084753	1.059809	22.4502	0.0406	W4P008	2	  2.2	0.0000	1	1	0.4463	-1.000
VIPERS 403050970	403050970	332.087708	1.069349	20.0280	0.0185	W4P008	2	  1.5	0.5933	1	0	-99.0000	-99.000
VIPERS 403064569	403064569	332.085760	1.120399	22.6844	0.0436	W4P008	2	 29.2	0.8139	1	1	-99.0000	-99.000
VIPERS 403064480	403064480	332.086097	1.120346	23.2847	0.0612	W4P008	2	 29.1	0.8300	1	1	-99.0000	-99.000
VIPERS 403064561	403064561	332.087181	1.120336	22.1872	0.0262	W4P008	2	  2.5	0.8290	1	1	0.4524	0.750
