# VIPERS Database
# File    : VIPERS_W1_SPECTRO_PDR1.txt.gz
# Date    : 2013-10-15 10:43
# Table   : W1_SPECTRO_PDR1
# Columns : 14
# Rows    : 30523
# SQL     : SELECT W1_SPECTRO_PDR1.id_IAU, W1_SPECTRO_PDR1.num, W1_SPEC
#           TRO_PDR1.alpha, W1_SPECTRO_PDR1.delta, W1_SPECTRO_PDR1.selm
#           ag, W1_SPECTRO_PDR1.errselmag, W1_SPECTRO_PDR1.pointing, W1
#           _SPECTRO_PDR1.quadrant, W1_SPECTRO_PDR1.zflg, W1_SPECTRO_PD
#           R1.zspec, W1_SPECTRO_PDR1.epoch, W1_SPECTRO_PDR1.photoMask,
#            W1_SPECTRO_PDR1.tsr, W1_SPECTRO_PDR1.ssr FROM W1_SPECTRO_P
#           DR1
# id_IAU	num	alpha	delta	selmag	errselmag	pointing	quadrant	zflg	zspec	epoch	photoMask	tsr	ssr
# CHAR	VARCHAR	DOUBLE	DOUBLE	FLOAT	FLOAT	VARCHAR	INT	FLOAT	FLOAT	INT	CHAR	FLOAT	FLOAT
# 		deg	deg	mag	mag								
VIPERS 122093382	122093382	33.420214	-4.247356	21.8739	0.0219	W1P044	1	  3.5	0.7725	1	1	0.4508	0.838
VIPERS 122085912	122085912	33.423493	-4.280589	21.4657	0.0229	W1P044	1	  1.5	1.0175	1	1	0.4519	-1.000
VIPERS 122099767	122099767	33.421644	-4.217471	22.3396	0.0279	W1P044	1	  3.5	0.6664	1	1	0.4463	0.756
VIPERS 122109179	122109179	33.422797	-4.173376	22.2618	0.0240	W1P044	1	  3.5	0.8610	1	1	0.4463	0.750
VIPERS 122082073	122082073	33.424751	-4.297867	20.8316	0.0088	W1P044	1	  1.5	0.6433	1	1	0.4479	-1.000
VIPERS 122099903	122099903	33.424473	-4.216383	22.1886	0.0261	W1P044	1	 11.2	1.3338	1	1	0.4524	-1.000
VIPERS 122088035	122088035	33.425969	-4.271314	21.5418	0.0153	W1P044	1	  1.4	0.7052	1	1	0.4525	-1.000
VIPERS 122101915	122101915	33.425985	-4.207458	22.0068	0.0191	W1P044	1	  2.5	0.8368	1	1	0.4524	0.750
VIPERS 122106233	122106233	33.427166	-4.183709	22.1455	0.0416	W1P044	1	  0.0	9.9999	1	1	0.4524	-1.000
VIPERS 122092527	122092527	33.429339	-4.250800	21.0889	0.0130	W1P044	1	  3.2	0.8470	1	1	0.4410	0.864
VIPERS 122101957	122101957	33.428989	-4.206936	22.2334	0.0273	W1P044	1	  0.0	9.9999	1	1	0.4524	-1.000
VIPERS 122091468	122091468	33.430645	-4.256348	22.1611	0.0271	W1P044	1	  3.2	0.6182	1	1	0.4524	0.756
VIPERS 122089165	122089165	33.432162	-4.264823	19.7837	0.0046	W1P044	1	  4.5	0.6545	1	1	0.4628	0.978
VIPERS 122099952	122099952	33.432200	-4.216422	22.1706	0.0321	W1P044	1	  1.2	0.5090	1	1	0.4524	-1.000
VIPERS 122099566	122099566	33.434070	-4.216090	20.2646	0.0063	W1P044	1	  4.4	0.6200	1	1	0.4472	0.982
VIPERS 122107865	122107865	33.433790	-4.179124	22.4292	0.0495	W1P044	1	  2.5	0.8566	1	1	0.4463	0.750
VIPERS 122102718	122102718	33.435442	-4.203027	21.5660	0.0150	W1P044	1	  2.5	0.9666	1	1	0.4525	0.781
VIPERS 122085688	122085688	33.438175	-4.281991	21.1379	0.0109	W1P044	1	  4.2	0.6546	1	1	0.4410	0.920
VIPERS 122098396	122098396	33.437722	-4.224098	22.1585	0.0298	W1P044	1	  1.2	1.4967	1	1	0.4524	-1.000
VIPERS 122084291	122084291	33.440014	-4.287483	21.6409	0.0186	W1P044	1	  1.5	1.0602	1	1	0.4525	-1.000
VIPERS 122094258	122094258	33.439973	-4.239012	22.3883	0.0524	W1P044	1	  1.5	0.6040	1	1	0.4463	-1.000
VIPERS 122105188	122105188	33.440106	-4.191972	21.7311	0.0160	W1P044	1	  3.5	0.5992	1	1	0.4525	0.844
VIPERS 122092266	122092266	33.441574	-4.251548	19.6241	0.0028	W1P044	1	 13.2	0.8473	1	1	-1.0000	-1.000
VIPERS 122107898	122107898	33.441264	-4.177930	22.4824	0.0282	W1P044	1	  2.2	0.7268	1	1	0.4463	0.771
VIPERS 122081897	122081897	33.444617	-4.297836	21.6539	0.0146	W1P044	1	  2.5	0.6456	1	1	0.4525	0.856
VIPERS 122093824	122093824	33.443972	-4.245266	21.4469	0.0142	W1P044	1	  2.5	0.6662	1	1	0.4519	0.920
VIPERS 122104590	122104590	33.442812	-4.194808	22.2232	0.0306	W1P044	1	  2.5	0.8580	1	1	0.4524	0.750
VIPERS 122091925	122091925	33.446703	-4.253633	22.1333	0.0336	W1P044	1	  2.5	0.8499	1	1	0.4524	0.750
VIPERS 122100440	122100440	33.445550	-4.213578	22.0573	0.0381	W1P044	1	  2.5	0.6403	1	1	0.4524	0.756
VIPERS 122093504	122093504	33.448159	-4.246942	22.0980	0.0258	W1P044	1	  0.0	9.9999	1	1	0.4524	-1.000
VIPERS 122102481	122102481	33.448429	-4.204300	22.1431	0.0290	W1P044	1	  1.5	0.6384	1	1	0.4524	-1.000
VIPERS 122085131	122085131	33.450718	-4.284394	21.5700	0.0158	W1P044	1	  4.4	0.6538	1	1	0.4525	0.856
VIPERS 122099072	122099072	33.449902	-4.220866	22.3851	0.0312	W1P044	1	  2.5	0.5571	1	1	0.4463	0.718
VIPERS 122084702	122084702	33.451958	-4.285261	22.4714	0.0397	W1P044	1	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 122094971	122094971	33.452230	-4.238825	20.6676	0.0082	W1P044	1	  4.4	0.6411	1	1	0.4582	0.959
VIPERS 122101175	122101175	33.457312	-4.209897	20.5561	0.0064	W1P044	1	  4.5	0.6198	1	1	0.4582	0.959
VIPERS 122096989	122096989	33.458694	-4.229009	21.5694	0.0161	W1P044	1	  2.4	0.6551	1	1	0.4525	0.856
VIPERS 122082941	122082941	33.460164	-4.293407	22.1536	0.0300	W1P044	1	  1.2	1.5265	1	1	0.4524	-1.000
VIPERS 122108738	122108738	33.460015	-4.174726	20.8739	0.0113	W1P044	1	  1.2	0.5065	1	1	0.4479	-1.000
VIPERS 122084896	122084896	33.462597	-4.284429	21.8417	0.0166	W1P044	1	  1.2	0.8255	1	1	0.4508	-1.000
VIPERS 122094033	122094033	33.461735	-4.244423	22.2665	0.0265	W1P044	1	  2.5	0.6553	1	1	0.4463	0.756
VIPERS 122106756	122106756	33.461366	-4.183074	21.6344	0.0204	W1P044	1	  1.5	0.6667	1	1	0.4525	-1.000
VIPERS 122105827	122105827	33.464374	-4.188279	21.2137	0.0127	W1P044	1	  1.2	0.5434	1	1	0.4410	-1.000
VIPERS 122092668	122092668	33.467213	-4.250285	22.0967	0.0280	W1P044	1	  2.2	0.4635	1	1	0.4524	0.608
VIPERS 122086187	122086187	33.470503	-4.279912	20.5423	0.0076	W1P044	1	  1.2	0.3681	1	1	0.4582	-1.000
VIPERS 122094186	122094186	33.468694	-4.242798	20.5861	0.0067	W1P044	1	  1.5	0.5265	1	1	0.4582	-1.000
VIPERS 122104772	122104772	33.469714	-4.193422	21.7335	0.0197	W1P044	1	  2.5	0.7405	1	1	0.4525	0.838
VIPERS 122090788	122090788	33.471877	-4.259174	21.0868	0.0092	W1P044	1	  3.5	0.5531	1	1	0.4410	0.914
VIPERS 122108463	122108463	33.471671	-4.175631	20.6824	0.0083	W1P044	1	  3.4	0.7412	1	1	0.4582	0.939
VIPERS 122085796	122085796	33.475519	-4.281670	21.9173	0.0224	W1P044	1	  1.2	0.7376	1	1	0.4508	-1.000
VIPERS 122099852	122099852	33.474518	-4.216148	21.0372	0.0104	W1P044	1	  1.2	0.3985	1	1	0.4410	-1.000
VIPERS 122082848	122082848	33.477184	-4.293850	21.4556	0.0167	W1P044	1	  0.0	9.9999	1	1	0.4519	-1.000
VIPERS 122104361	122104361	33.478702	-4.195859	22.4281	0.0447	W1P044	1	  1.2	0.5950	1	1	0.4463	-1.000
VIPERS 122088881	122088881	33.226277	-4.267488	22.5778	0.0370	W1P044	2	 29.5	0.9619	1	1	-99.0000	-99.000
VIPERS 122088975	122088975	33.227551	-4.267319	21.6451	0.0201	W1P044	2	  2.5	0.9446	1	1	0.4525	0.781
VIPERS 122108448	122108448	33.228542	-4.176223	22.2310	0.0321	W1P044	2	  1.5	0.7670	1	1	0.4524	-1.000
VIPERS 122083044	122083044	33.230805	-4.293243	20.6826	0.0075	W1P044	2	  1.4	0.4622	1	1	0.4582	-1.000
VIPERS 122097326	122097326	33.231085	-4.229065	22.3956	0.0319	W1P044	2	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 122107104	122107104	33.230740	-4.182025	20.7573	0.0083	W1P044	2	  2.5	0.5376	1	1	0.4479	0.935
VIPERS 122094159	122094159	33.232683	-4.243528	21.7583	0.0187	W1P044	2	  2.4	0.6442	1	1	0.4508	0.856
VIPERS 122093329	122093329	33.234542	-4.247400	22.1898	0.0304	W1P044	2	  1.5	0.8521	1	1	0.4524	-1.000
VIPERS 122094591	122094591	33.235997	-4.242097	22.2466	0.0316	W1P044	2	  1.2	1.1644	1	1	0.4524	-1.000
VIPERS 122088526	122088526	33.237772	-4.265833	21.2324	0.0148	W1P044	2	  2.5	0.4721	1	1	0.4410	0.776
VIPERS 122098418	122098418	33.237875	-4.221590	21.2556	0.0131	W1P044	2	  1.4	0.6700	1	1	0.4519	-1.000
